Entity,Code,Year,all years
Ethiopia,ETH,1950,17670418
Ethiopia,ETH,1951,17989060
Ethiopia,ETH,1952,18326176
Ethiopia,ETH,1953,18674772
Ethiopia,ETH,1954,19038036
Ethiopia,ETH,1955,19419768
Ethiopia,ETH,1956,19818886
Ethiopia,ETH,1957,20173747
Ethiopia,ETH,1958,20480281
Ethiopia,ETH,1959,20878098
Ethiopia,ETH,1960,21376688
Ethiopia,ETH,1961,21906102
Ethiopia,ETH,1962,22465125
Ethiopia,ETH,1963,23051639
Ethiopia,ETH,1964,23666547
Ethiopia,ETH,1965,24310615
Ethiopia,ETH,1966,24952691
Ethiopia,ETH,1967,25620283
Ethiopia,ETH,1968,26337933
Ethiopia,ETH,1969,27072575
Ethiopia,ETH,1970,27829135
Ethiopia,ETH,1971,28600114
Ethiopia,ETH,1972,29374611
Ethiopia,ETH,1973,30166789
Ethiopia,ETH,1974,30957277
Ethiopia,ETH,1975,31723255
Ethiopia,ETH,1976,32534428
Ethiopia,ETH,1977,33167276
Ethiopia,ETH,1978,33734601
Ethiopia,ETH,1979,34238655
Ethiopia,ETH,1980,34428515
Ethiopia,ETH,1981,35304010
Ethiopia,ETH,1982,36701293
Ethiopia,ETH,1983,37740821
Ethiopia,ETH,1984,38735728
Ethiopia,ETH,1985,39842136
Ethiopia,ETH,1986,41037658
Ethiopia,ETH,1987,42460039
Ethiopia,ETH,1988,44150834
Ethiopia,ETH,1989,45879686
Ethiopia,ETH,1990,47609760
Ethiopia,ETH,1991,49717203
Ethiopia,ETH,1992,51853756
Ethiopia,ETH,1993,53708892
Ethiopia,ETH,1994,55611514
Ethiopia,ETH,1995,57537340
Ethiopia,ETH,1996,59467640
Ethiopia,ETH,1997,61404541
Ethiopia,ETH,1998,63363523
Ethiopia,ETH,1999,65374561
Ethiopia,ETH,2000,67411496
Ethiopia,ETH,2001,69487767
Ethiopia,ETH,2002,71635521
Ethiopia,ETH,2003,73832664
Ethiopia,ETH,2004,76077211
Ethiopia,ETH,2005,78367476
Ethiopia,ETH,2006,80703495
Ethiopia,ETH,2007,83103218
Ethiopia,ETH,2008,85543670
Ethiopia,ETH,2009,88007641
Ethiopia,ETH,2010,90538518
Ethiopia,ETH,2011,93149977
Ethiopia,ETH,2012,95798771
Ethiopia,ETH,2013,98438752
Ethiopia,ETH,2014,101115615
Ethiopia,ETH,2015,103867140
Ethiopia,ETH,2016,106718163
Ethiopia,ETH,2017,109666482
Ethiopia,ETH,2018,112664157
Ethiopia,ETH,2019,115737384
Ethiopia,ETH,2020,118917670
Ethiopia,ETH,2021,122138588
Ethiopia,ETH,2022,125384285
Ethiopia,ETH,2023,128691695
